chunk_id,source_split,orig_file,orig_line,text,n_sent,density_bin,notes
TST_0001,test,llm_test_gen.jsonl,38,"""A dam broke along the river, flooding the town of Chokwe in the middle of the night and trapping several unprepared residents; this accounted for nearly half of the death toll.""",1,high,
TST_0002,test,llm_test_gen.jsonl,202,"""Their presence was at first tolerated by Prince Sihanouk, the Cambodian head of state, but domestic resistance combined with China and North Vietnam continuing to provide aid to the anti-government Khmer Rouge alarmed Sihanouk and caused him to go to Moscow to request the Soviets rein in the behavior of North Vietnam.""",1,high,
TST_0003,test,llm_test_gen.jsonl,249,"""The developing cyclone was first detected on April 3, while situated well to the northeast of Vanuatu.""",1,med,
TST_0004,test,llm_test_gen.jsonl,260,"""The storm's large fetch generated enormous swells as far away as Australia's Eastern Seaboard, where surfers took advantage of the abnormally intense conditions and two swimmers drowned.""",1,high,
TST_0005,test,llm_test_gen.jsonl,475,"""The origins to the conflict can be traced back to Jewish immigration and sectarian conflict in Mandatory Palestine between Jews and Arabs.""",1,med,
TST_0006,test,llm_test_gen.jsonl,1034,"""At the onset of the coup, the rebels seized Villamor Airbase, Fort Bonifacio, Sangley Airbase, Mactan Airbase in Cebu, and portions of Camp Aguinaldo.""",1,low,
TST_0007,test,llm_test_gen.jsonl,1227,"""The 2008 Kabul Serena Hotel attack was an attack on the gym of the Kabul Serena Hotel, in Kabul, Afghanistan on January 14, 2008 for which the Taliban claimed responsibility.""",1,med,
TST_0008,test,llm_test_gen.jsonl,1420,"""After a crowd gathered in the area, a teen-aged suicide bomber on a motorcycle set off a second explosion, killing many people on the spot.""",1,med,
TST_0009,test,llm_test_gen.jsonl,2426,"""Southern state legislatures had passed and maintained a series of discriminatory requirements and practices that had disenfranchised most of the millions of African Americans across the South throughout the 20th century.""",1,med,
TST_0010,test,llm_test_gen.jsonl,2493,"""Placed throughout Boston, Massachusetts, and the surrounding cities of Cambridge and Somerville, these devices were part of a guerrilla marketing advertising campaign for ""Aqua Teen Hunger Force Colon Movie Film for Theaters"", a film based on ""Aqua Teen Hunger Force"".""",1,high,
TST_0011,test,llm_test_gen.jsonl,2769,"""The site of the massacre has been identified as the present-day Suicide Bay, facing the island outcrops known as The Doughboys.""",1,high,
TST_0012,test,llm_test_gen.jsonl,2847,"""The tour was undertaken to celebrate the release of Savage Garden's 10th anniversary greatest hits album.""",1,med,
TST_0013,test,llm_test_gen.jsonl,3179,"""They have brought their talents to the fore as the festival's continued growth is very much due to their commitment.""""",1,med,
TST_0014,test,llm_test_gen.jsonl,3247,"""In particular, it transformed Cuba's relationship with the United States, although efforts to improve diplomatic relations have gained momentum in recent years.""",1,med,
TST_0015,test,llm_test_gen.jsonl,3513,"""There were eight matches on for the event's card.""",1,low,
TST_0016,test,llm_test_gen.jsonl,3518,"""Hurricane Paul was a strong tropical cyclone that threatened the Baja California peninsula during October 2012.""",1,med,
TST_0017,test,llm_test_gen.jsonl,3555,"""In the treaty signed Demetrius received some fortresses in Attica but Athens was freed from a Macedonian garrison.""",1,med,
TST_0018,test,llm_test_gen.jsonl,4056,"""They knowingly attempted to land using an inappropriate navigation signal and ignored alarms warning them of an impending crash.""",1,med,
TST_0019,test,llm_test_gen.jsonl,4111,"""The fire started on August 17, 2013, during the 2013 California wildfire season, and grew to be (at the time) the third-largest wildfire in California's history, having burned .""",1,high,
TST_0020,test,llm_test_gen.jsonl,4380,"""Denmark finished in second place, with one silver and one bronze won.""",1,low,
TST_0021,test,llm_test_gen.jsonl,4471,"""The show has received positive criticism, complimenting their showmanship, as well as the longevity of their signature sound and look.""",1,med,
TST_0022,test,llm_test_gen.jsonl,4646,"""As of January 2016, there have been more than 800 fatalities and almost 3,000 injuries.""",1,low,
TST_0023,test,llm_test_gen.jsonl,4693,"""A subsequent incident led to a further ban, which was later lifted.""",1,low,
TST_0024,test,llm_test_gen.jsonl,4726,"""In particular, the 9th Parachute Battalion, which was assigned the task of destroying the Merville artillery battery, was only able to gather up a fraction of its strength before it had to attack the battery, with the result that the depleted force suffered heavy casualties.""",1,high,
TST_0025,test,llm_test_gen.jsonl,4806,"""The seventeen-day war caused thousands of casualties on both sides and witnessed the largest engagement of armored vehicles and the largest tank battle since World War II.""",1,high,
TST_0026,test,llm_test_gen.jsonl,4901,"""The Greeks were later assisted by the Russian Empire, Great Britain, and the Kingdom of France, while the Ottomans were aided by their North African vassals, the eyalets of Egypt, Algeria, and Tripolitania, and the Beylik of Tunis.""",1,high,
TST_0027,test,llm_test_gen.jsonl,5844,"""The Arauco War was a long-running conflict between colonial Spaniards and the Mapuche people, mostly fought in the Araucanía.""",1,med,
TST_0028,test,llm_test_gen.jsonl,6177,"""All three of them, Ron Launius, Billy DeVerell, and Joy Miller, along with their accomplice Barbara Richardson, died from extensive blunt-force trauma injuries.""",1,low,
TST_0029,test,llm_test_gen.jsonl,6356,"""The First Ivorian Civil War was a conflict in the Ivory Coast (also known as Côte d'Ivoire) that began in 2002.""",1,med,
TST_0030,test,llm_test_gen.jsonl,6397,"""The purpose of the march was to advocate for the civil and economic rights of African Americans.""",1,med,
TST_0031,test,llm_test_gen.jsonl,6401,"""Observers estimated that 75–80% of the marchers were black.""",1,low,
TST_0032,test,llm_test_gen.jsonl,7173,"""In two provinces in Mozambique, the cyclone damaged or destroyed 25,000 houses, leaving at least 23,000 people homeless.""",1,med,
TST_0033,test,llm_test_gen.jsonl,7283,"""This was last competed as a world championship event in 1994 between nations.""",1,low,
TST_0034,test,llm_test_gen.jsonl,7477,"""In trials at the International Criminal Tribunal for the former Yugoslavia (ICTY) and the Court of Bosnia and Herzegovina members of the group who carried out the killings, including their leader, Darko Mrđa, were convicted and sentenced to various terms of imprisonment.""",1,high,
TST_0035,test,llm_test_gen.jsonl,7503,"""After hitting Davao Oriental and Compostela Valley provinces, Bopha shifted through the southern and central regions of Mindanao, cutting power to two provinces and triggering landslides.""",1,high,
TST_0036,test,llm_test_gen.jsonl,7790,"""There were fifty-four passengers on board (four of whom were reported to be children) and a crew of four.""",1,med,
TST_0037,test,llm_test_gen.jsonl,7930,"""The crash sparked large controversy and trust issue in every Indonesian built aircraft.""",1,low,
TST_0038,test,llm_test_gen.jsonl,7995,"""On December 18, 2009, KROQ-FM released a compilation called ""KROQ Almost Acoustic Christmas 2009"", a benefit album with proceeds benefiting Para Los Ninos and the Al Wooten Heritage Center.""",1,med,
TST_0039,test,llm_test_gen.jsonl,8103,"""Marley then left for Germany to receive cancer treatment which eventually was not successful but prolonged his life 6 months more than any medical clinic in the United States predicted, as Marley died in May 1981.""",1,high,
TST_0040,test,llm_test_gen.jsonl,8176,"""Referee David Manning awarded the match and the title to the Fantastics despite of the fact that Manning's pin count of a Fantastics member pinning a Midnight Express member started after referee Rick Hazzard's pin count of a Midnight Express member pinning a Fantastics member ended at 3.""",1,high,
TST_0041,test,llm_test_gen.jsonl,8524,"""Runners-up Jim Furyk, Colin Montgomerie, and Phil Mickelson all failed to par the 72nd hole.""",1,med,
TST_0042,test,llm_test_gen.jsonl,8579,"""Hurricane Gabrielle was a powerful tropical cyclone that caused nine fatalities in the United States and Canada, despite remaining hundreds of miles offshore.""",1,med,
TST_0043,test,llm_test_gen.jsonl,8867,"""The earthquake also affected Chile's capital city Santiago with great intensity.""",1,med,
VAL_0001,valid,llm_valid_gen.jsonl,523,"""In the aftermath of the engagement, a French battle squadron that formed part of the developing Atlantic campaign of May 1794 pursued both ships for the rest of the day; their quarry eventually escaped after dark.""",1,high,
VAL_0002,valid,llm_valid_gen.jsonl,778,"""The 1957 crash of a Douglas C-47 plane named ""Mt.""",1,low,
VAL_0003,valid,llm_valid_gen.jsonl,832,"""The tour was managed by touring veteran Scotty Ross, who has also managed the tours of Poison, Dio, Saliva and Celtic Woman.""",1,low,
VAL_0004,valid,llm_valid_gen.jsonl,892,"""Though initially forecast to make landfall in Cagayan Valley, the storm followed a more westerly path and was later forecast to make landfall in the Bicol Region and then pass through Bataan and Zambales before brushing past Metro Manila.""",1,med,
VAL_0005,valid,llm_valid_gen.jsonl,973,"""The 2011 revival was a two-day event on Friday and Saturday only.""",1,low,
VAL_0006,valid,llm_valid_gen.jsonl,1440,"""The Atlantic campaign of May 1794 was a series of operations conducted by the British Royal Navy's Channel Fleet against the French Navy's Atlantic Fleet, with the aim of preventing the passage of a strategically important French grain convoy travelling from the United States to France.""",1,med,
VAL_0007,valid,llm_valid_gen.jsonl,1586,"""Operation Corridor 92 (, ""Operacija Koridor 92"") was the largest operation conducted during the Bosnian War by the Army of Republika Srpska (VRS) against the forces of the Croatian Defence Council (HVO) and the Croatian Army (HV) in the Bosanska Posavina region of northern Bosnia and Herzegovina between 24 June and 6 October 1992.""",1,low,
VAL_0008,valid,llm_valid_gen.jsonl,1668,"""Due to incorrect automatic direction finder (ADF) readings caused by the thunderstorm, the plane strayed 15 km (9.3 mi) west from the procedural let-down track.""",1,low,
VAL_0009,valid,llm_valid_gen.jsonl,2076,"""The Fountain Valley massacre was a mass shooting that occurred on the afternoon of 6 September 1972 at the Fountain Valley Golf Course in St. Croix, United States Virgin Islands.""",2,low,
VAL_0010,valid,llm_valid_gen.jsonl,2197,"""CMLL did not hold any special events on Fridays that would force a cancellation such as a pay-per-view (PPV).""",1,med,
VAL_0011,valid,llm_valid_gen.jsonl,2263,"""Ships in the vicinity of the storm reported a much stronger tropical cyclone than initially suggested.""",1,med,
VAL_0012,valid,llm_valid_gen.jsonl,2271,"""However, much of the property and crop damage wrought by the hurricane was due to the torrential rainfall it produced in low-lying areas, setting off record floods.""",1,med,
VAL_0013,valid,llm_valid_gen.jsonl,2479,"""On Wednesday, December 23, 1964, Flying Tiger Line Flight 282 arrived at San Francisco International Airport from Japan.""",1,low,
VAL_0014,valid,llm_valid_gen.jsonl,2998,"""The Siege of Madrid was a two and a half year siege of the Spanish capital city of Madrid, during the Spanish Civil War of 1936 to 1939.""",1,low,
VAL_0015,valid,llm_valid_gen.jsonl,3313,"""The Peruvian warship managed to outrun the British squadron after a fierce exchange of fire.""",1,low,
VAL_0016,valid,llm_valid_gen.jsonl,3602,"""The 1984 Air Canada Cup was Canada's sixth annual national midget 'AAA' hockey championship, which was played April 17 – 21, 1984 at the North Bay Memorial Gardens in North Bay, Ontario.""",1,med,
VAL_0017,valid,llm_valid_gen.jsonl,3703,"""On 29 July, two more suspects were arrested in London.""",1,low,
VAL_0018,valid,llm_valid_gen.jsonl,4123,"""The 2001–2002 India–Pakistan standoff was a military standoff between India and Pakistan that resulted in the massing of troops on either side of the border and along the Line of Control (LoC) in the region of Kashmir.""",1,low,
VAL_0019,valid,llm_valid_gen.jsonl,4532,"""De Grasse hastily prepared most of his fleet for battle—24 ships of the line—and sailed out to meet him.""",1,med,
VAL_0020,valid,llm_valid_gen.jsonl,4736,"""Around the same time, IJA and IJN air forces began an air superiority campaign around the Solomon Islands and New Guinea.""",1,low,
VAL_0021,valid,llm_valid_gen.jsonl,4778,"""The fire began on 2 January 2015 during a day of extreme heat and lasted until 9 January 2015.""",1,low,
VAL_0022,valid,llm_valid_gen.jsonl,4880,"""The Columbine High School massacre was a school shooting and attempted bombing that occurred on April 20, 1999, at Columbine High School in Columbine, Colorado, United States.""",1,med,
VAL_0023,valid,llm_valid_gen.jsonl,5122,"""The mass grave was discovered in October 1992 and guarded by the United Nations Protection Force which had deployed to the area earlier that year.""",1,med,
VAL_0024,valid,llm_valid_gen.jsonl,5157,"""The massacre was presented as retaliation for the assassination of newly elected Lebanese president Bachir Gemayel, the leader of the Lebanese Kataeb Party.""",1,med,
VAL_0025,valid,llm_valid_gen.jsonl,5570,"""It showcased material from her twelfth studio album, ""MDNA"" (2012).""",1,low,
VAL_0026,valid,llm_valid_gen.jsonl,5594,"""The 2015 London Marathon took place on 26 April 2015.""",1,low,
VAL_0027,valid,llm_valid_gen.jsonl,5751,"""Throughout Florida, there were three fatalities and approximately $12 million (1948 USD) in damage, over half of which was inflicted on crops.""",1,med,
VAL_0028,valid,llm_valid_gen.jsonl,5929,"""The tropical depression that would later develop into the destructive hurricane was first located east of the Lesser Antilles on October 30, and tracked westward into the Caribbean Sea, reaching tropical storm strength the next day.""",1,med,
VAL_0029,valid,llm_valid_gen.jsonl,6325,"""EDSA is an acronym derived from Epifanio de los Santos Avenue, the major thoroughfare connecting five cities in Metro Manila, namely Pasay, Makati, Mandaluyong, Quezon City, and Caloocan, with the revolution's epicentre at the EDSA Shrine church at the northern tip of Ortigas Center, a business district.""",1,low,
VAL_0030,valid,llm_valid_gen.jsonl,6416,"""The album was preceded by the lead single ""Music Everywhere"" and followed by the promotional singles ""Impatient"" and ""Slam"".""",1,low,
VAL_0031,valid,llm_valid_gen.jsonl,6482,"""The second attack minutes later targeted a bus station at a nearby market in a commercial area called Iskan and wounded one civilian.""",1,low,
VAL_0032,valid,llm_valid_gen.jsonl,6992,"""Intimate and Live was the fifth concert tour by Australian recording artist Kylie Minogue, in support of her sixth studio album, ""Impossible Princess"" (1997).""",1,low,
VAL_0033,valid,llm_valid_gen.jsonl,7278,"""Andy Murray and Serena Williams were the defending champions in the singles events.""",1,low,
VAL_0034,valid,llm_valid_gen.jsonl,7603,"""The TNA X Division Championship was defended by Samoa Joe against Christopher Daniels at the event, which Joe won to retain the title.""",1,low,
VAL_0035,valid,llm_valid_gen.jsonl,7914,"""Soon, the alliance of the Kurdish and People's Azerbaijani forces, supported in arms and training by the Soviet Union, engaged in fighting with Iranian forces, resulting in a total of 2,000 casualties.""",1,low,
VAL_0036,valid,llm_valid_gen.jsonl,7963,"""In the face of Byzantine reinforcements, the new Arab leader, Muhammad ibn Abi'l-Jawari, abandoned the siege and withdrew to the southwestern part of the island, which remained in their hands.""",1,med,
VAL_0037,valid,llm_valid_gen.jsonl,8003,"""Once inland, Betsy was slow to weaken, and persisted for two more days before degenerating into an extratropical storm; these remnants lasted until September 13.""",1,low,
