chunk_id,gold_raw,n_events,events_norm
TST_0001,<EVENTSEP> Event type: Catastrophe. Trigger: flooding. <EVENTSEP> Event type: Revenge. Trigger: town. <EVENTSEP> Event type: Destroying. Trigger: broke. <EVENTSEP> Event type: Limiting. Trigger: dam. <EVENTSEP> Event type: Recording. Trigger: night. <EVENTSEP> Event type: Response. Trigger: river. <EVENTSEP> Event type: Death. Trigger: death. <EVENTSEP> Event type: Ingestion. Trigger: middle.,8,Catastrophe|flooding ; Revenge|town ; Destroying|broke ; Limiting|dam ; Recording|night ; Response|river ; Death|death ; Ingestion|middle
TST_0002,<EVENTSEP> Event type: Cause_to_amalgamate. Trigger: combined. <EVENTSEP> Event type: Request. Trigger: request. <EVENTSEP> Event type: Presence. Trigger: presence. <EVENTSEP> Event type: Arranging. Trigger: Cambodian. <EVENTSEP> Event type: Defending. Trigger: resistance. <EVENTSEP> Event type: Supply. Trigger: provide. <EVENTSEP> Event type: Becoming_a_member. Trigger: domestic. <EVENTSEP> Event type: Bodily_harm. Trigger: alarmed. <EVENTSEP> Event type: Motion. Trigger: go to. <EVENTSEP> Event type: Causation. Trigger: caused. <EVENTSEP> Event type: Renting. Trigger: Khmer. <EVENTSEP> Event type: Assistance. Trigger: aid.,12,Cause_to_amalgamate|combined ; Request|request ; Presence|presence ; Arranging|cambodian ; Defending|resistance ; Supply|provide ; Becoming_a_member|domestic ; Bodily_harm|alarmed ; Motion|go to ; Causation|caused ; Renting|khmer ; Assistance|aid
TST_0003,<EVENTSEP> Event type: Placing. Trigger: situated. <EVENTSEP> Event type: Know. Trigger: detected. <EVENTSEP> Event type: Cause_to_make_progress. Trigger: developing.,3,Placing|situated ; Know|detected ; Cause_to_make_progress|developing
TST_0004,<EVENTSEP> Event type: Reforming_a_system. Trigger: advantage. <EVENTSEP> Event type: Preventing_or_letting. Trigger: far. <EVENTSEP> Event type: Creating. Trigger: took. <EVENTSEP> Event type: Institutionalization. Trigger: storm. <EVENTSEP> Event type: Ratification. Trigger: large. <EVENTSEP> Event type: Creating. Trigger: generated. <EVENTSEP> Event type: Death. Trigger: drowned. <EVENTSEP> Event type: Hiding_objects. Trigger: abnormally. <EVENTSEP> Event type: Arriving. Trigger: surfers.,9,Reforming_a_system|advantage ; Preventing_or_letting|far ; Creating|took ; Institutionalization|storm ; Ratification|large ; Creating|generated ; Death|drowned ; Hiding_objects|abnormally ; Arriving|surfers
TST_0005,<EVENTSEP> Event type: Supporting. Trigger: back. <EVENTSEP> Event type: Hostile_encounter. Trigger: conflict. <EVENTSEP> Event type: Hostile_encounter. Trigger: conflict.,3,Supporting|back ; Hostile_encounter|conflict ; Hostile_encounter|conflict
TST_0006,<EVENTSEP> Event type: Supporting. Trigger: aguinaldo. <EVENTSEP> Event type: Hold. Trigger: seized.,2,Supporting|aguinaldo ; Hold|seized
TST_0007,<EVENTSEP> Event type: Statement. Trigger: claimed. <EVENTSEP> Event type: Placing. Trigger: Taliban. <EVENTSEP> Event type: Attack. Trigger: attack. <EVENTSEP> Event type: Hostile_encounter. Trigger: Afghanistan.,4,Statement|claimed ; Placing|taliban ; Attack|attack ; Hostile_encounter|afghanistan
TST_0008,<EVENTSEP> Event type: Come_together. Trigger: gathered. <EVENTSEP> Event type: Telling. Trigger: suicide. <EVENTSEP> Event type: Adducing. Trigger: explosion. <EVENTSEP> Event type: Damaging. Trigger: set off.,4,Come_together|gathered ; Telling|suicide ; Adducing|explosion ; Damaging|set off
TST_0009,<EVENTSEP> Event type: Preserving. Trigger: maintained. <EVENTSEP> Event type: Action. Trigger: century. <EVENTSEP> Event type: Change_event_time. Trigger: 20th.,3,Preserving|maintained ; Action|century ; Change_event_time|20th
TST_0010,<EVENTSEP> Event type: Removing. Trigger: theaters. <EVENTSEP> Event type: Suspicion. Trigger: aqua. <EVENTSEP> Event type: Exchange. Trigger: movie. <EVENTSEP> Event type: Receiving. Trigger: film. <EVENTSEP> Event type: Being_in_operation. Trigger: force. <EVENTSEP> Event type: Change_sentiment. Trigger: massachusetts. <EVENTSEP> Event type: Carry_goods. Trigger: somerville. <EVENTSEP> Event type: Carry_goods. Trigger: marketing.,8,Removing|theaters ; Suspicion|aqua ; Exchange|movie ; Receiving|film ; Being_in_operation|force ; Change_sentiment|massachusetts ; Carry_goods|somerville ; Carry_goods|marketing
TST_0011,<EVENTSEP> Event type: Catastrophe. Trigger: massacre. <EVENTSEP> Event type: Telling. Trigger: Bay. <EVENTSEP> Event type: Check. Trigger: identified. <EVENTSEP> Event type: Submitting_documents. Trigger: Doughboys. <EVENTSEP> Event type: Placing. Trigger: facing. <EVENTSEP> Event type: Preserving. Trigger: island.,6,Catastrophe|massacre ; Telling|bay ; Check|identified ; Submitting_documents|doughboys ; Placing|facing ; Preserving|island
TST_0012,<EVENTSEP> Event type: Agree_or_refuse_to_act. Trigger: Garden. <EVENTSEP> Event type: Collaboration. Trigger: album. <EVENTSEP> Event type: Creating. Trigger: undertaken. <EVENTSEP> Event type: Reporting. Trigger: 10th. <EVENTSEP> Event type: Social_event. Trigger: celebrate.,5,Agree_or_refuse_to_act|garden ; Collaboration|album ; Creating|undertaken ; Reporting|10th ; Social_event|celebrate
TST_0013,<EVENTSEP> Event type: Create_artwork. Trigger: much. <EVENTSEP> Event type: Destroying. Trigger: commitment. <EVENTSEP> Event type: Openness. Trigger: fore. <EVENTSEP> Event type: Causation. Trigger: due. <EVENTSEP> Event type: Bringing. Trigger: brought.,5,Create_artwork|much ; Destroying|commitment ; Openness|fore ; Causation|due ; Bringing|brought
TST_0014,<EVENTSEP> Event type: Getting. Trigger: gained. <EVENTSEP> Event type: Catastrophe. Trigger: particular. <EVENTSEP> Event type: Cause_change_of_position_on_a_scale. Trigger: improve. <EVENTSEP> Event type: Change. Trigger: transformed. <EVENTSEP> Event type: Manufacturing. Trigger: efforts.,5,Getting|gained ; Catastrophe|particular ; Cause_change_of_position_on_a_scale|improve ; Change|transformed ; Manufacturing|efforts
TST_0015,<EVENTSEP> Event type: Competition. Trigger: matches.,1,Competition|matches
TST_0016,<EVENTSEP> Event type: Warning. Trigger: threatened. <EVENTSEP> Event type: Catastrophe. Trigger: cyclone. <EVENTSEP> Event type: Coming_to_believe. Trigger: strong.,3,Warning|threatened ; Catastrophe|cyclone ; Coming_to_believe|strong
TST_0017,<EVENTSEP> Event type: Receiving. Trigger: received. <EVENTSEP> Event type: Releasing. Trigger: freed. <EVENTSEP> Event type: Sign_agreement. Trigger: signed.,3,Receiving|received ; Releasing|freed ; Sign_agreement|signed
TST_0018,<EVENTSEP> Event type: Catastrophe. Trigger: crash. <EVENTSEP> Event type: Revenge. Trigger: land. <EVENTSEP> Event type: Warning. Trigger: warning.,3,Catastrophe|crash ; Revenge|land ; Warning|warning
TST_0019,<EVENTSEP> Event type: Causation. Trigger: wildfire. <EVENTSEP> Event type: Coming_to_be. Trigger: grew. <EVENTSEP> Event type: Hostile_encounter. Trigger: time. <EVENTSEP> Event type: Scouring. Trigger: season. <EVENTSEP> Event type: Manufacturing. Trigger: history. <EVENTSEP> Event type: Process_start. Trigger: started.,6,Causation|wildfire ; Coming_to_be|grew ; Hostile_encounter|time ; Scouring|season ; Manufacturing|history ; Process_start|started
TST_0020,<EVENTSEP> Event type: Process_end. Trigger: finished. <EVENTSEP> Event type: Commitment. Trigger: bronze.,2,Process_end|finished ; Commitment|bronze
TST_0021,<EVENTSEP> Event type: Receiving. Trigger: received. <EVENTSEP> Event type: Judgment_communication. Trigger: complimenting. <EVENTSEP> Event type: Communication. Trigger: signature.,3,Receiving|received ; Judgment_communication|complimenting ; Communication|signature
TST_0022,<EVENTSEP> Event type: Bodily_harm. Trigger: injuries.,1,Bodily_harm|injuries
TST_0023,<EVENTSEP> Event type: Process_end. Trigger: lifted.,1,Process_end|lifted
TST_0024,<EVENTSEP> Event type: Openness. Trigger: heavy. <EVENTSEP> Event type: Death. Trigger: casualties. <EVENTSEP> Event type: Attack. Trigger: attack. <EVENTSEP> Event type: Bodily_harm. Trigger: suffered. <EVENTSEP> Event type: Come_together. Trigger: gather. <EVENTSEP> Event type: Destroying. Trigger: destroying. <EVENTSEP> Event type: Social_event. Trigger: artillery. <EVENTSEP> Event type: Expend_resource. Trigger: depleted. <EVENTSEP> Event type: Warning. Trigger: able.,9,Openness|heavy ; Death|casualties ; Attack|attack ; Bodily_harm|suffered ; Come_together|gather ; Destroying|destroying ; Social_event|artillery ; Expend_resource|depleted ; Warning|able
TST_0025,<EVENTSEP> Event type: Change_sentiment. Trigger: vehicles. <EVENTSEP> Event type: Causation. Trigger: caused. <EVENTSEP> Event type: Award. Trigger: tank. <EVENTSEP> Event type: Hostile_encounter. Trigger: war. <EVENTSEP> Event type: Institutionalization. Trigger: unk. <EVENTSEP> Event type: Hostile_encounter. Trigger: war. <EVENTSEP> Event type: Hostile_encounter. Trigger: engagement. <EVENTSEP> Event type: Death. Trigger: casualties. <EVENTSEP> Event type: Hostile_encounter. Trigger: battle.,9,Change_sentiment|vehicles ; Causation|caused ; Award|tank ; Hostile_encounter|war ; Institutionalization|unk ; Hostile_encounter|war ; Hostile_encounter|engagement ; Death|casualties ; Hostile_encounter|battle
TST_0026,<EVENTSEP> Event type: Sending. Trigger: vassals. <EVENTSEP> Event type: Assistance. Trigger: assisted. <EVENTSEP> Event type: Reveal_secret. Trigger: North. <EVENTSEP> Event type: Supporting. Trigger: Tripolitania. <EVENTSEP> Event type: Exchange. Trigger: Great. <EVENTSEP> Event type: Assistance. Trigger: aided. <EVENTSEP> Event type: Creating. Trigger: African.,7,Sending|vassals ; Assistance|assisted ; Reveal_secret|north ; Supporting|tripolitania ; Exchange|great ; Assistance|aided ; Creating|african
TST_0027,<EVENTSEP> Event type: Military_operation. Trigger: War. <EVENTSEP> Event type: Hostile_encounter. Trigger: fought. <EVENTSEP> Event type: Military_operation. Trigger: conflict. <EVENTSEP> Event type: Body_movement. Trigger: Arauco.,4,Military_operation|war ; Hostile_encounter|fought ; Military_operation|conflict ; Body_movement|arauco
TST_0028,<EVENTSEP> Event type: Risk. Trigger: extensive. <EVENTSEP> Event type: Death. Trigger: died.,2,Risk|extensive ; Death|died
TST_0029,<EVENTSEP> Event type: Participation. Trigger: Civil. <EVENTSEP> Event type: Carry_goods. Trigger: also known as. <EVENTSEP> Event type: Process_start. Trigger: began. <EVENTSEP> Event type: Hostile_encounter. Trigger: conflict. <EVENTSEP> Event type: Lighting. Trigger: First.,5,Participation|civil ; Carry_goods|also known as ; Process_start|began ; Hostile_encounter|conflict ; Lighting|first
TST_0030,<EVENTSEP> Event type: Self_motion. Trigger: purpose. <EVENTSEP> Event type: Come_together. Trigger: African. <EVENTSEP> Event type: Convincing. Trigger: advocate. <EVENTSEP> Event type: Research. Trigger: civil.,4,Self_motion|purpose ; Come_together|african ; Convincing|advocate ; Research|civil
TST_0031,<EVENTSEP> Event type: Statement. Trigger: estimated. <EVENTSEP> Event type: Death. Trigger: marchers.,2,Statement|estimated ; Death|marchers
TST_0032,<EVENTSEP> Event type: Damaging. Trigger: damaged. <EVENTSEP> Event type: Practice. Trigger: provinces. <EVENTSEP> Event type: Catastrophe. Trigger: cyclone. <EVENTSEP> Event type: Destroying. Trigger: destroyed. <EVENTSEP> Event type: Rite. Trigger: least.,5,Damaging|damaged ; Practice|provinces ; Catastrophe|cyclone ; Destroying|destroyed ; Rite|least
TST_0033,<EVENTSEP> Event type: Competition. Trigger: competed. <EVENTSEP> Event type: Competition. Trigger: event.,2,Competition|competed ; Competition|event
TST_0034,<EVENTSEP> Event type: Death. Trigger: killings. <EVENTSEP> Event type: Judgment_communication. Trigger: ICTY. <EVENTSEP> Event type: Destroying. Trigger: including. <EVENTSEP> Event type: Legal_rulings. Trigger: convicted. <EVENTSEP> Event type: Hostile_encounter. Trigger: terms. <EVENTSEP> Event type: Legal_rulings. Trigger: sentenced.,6,Death|killings ; Judgment_communication|icty ; Destroying|including ; Legal_rulings|convicted ; Hostile_encounter|terms ; Legal_rulings|sentenced
TST_0035,<EVENTSEP> Event type: Motion. Trigger: Davao. <EVENTSEP> Event type: Bodily_harm. Trigger: cutting. <EVENTSEP> Event type: Bearing_arms. Trigger: landslides. <EVENTSEP> Event type: Attack. Trigger: hitting. <EVENTSEP> Event type: Killing. Trigger: Oriental. <EVENTSEP> Event type: Change. Trigger: shifted. <EVENTSEP> Event type: Cause_to_amalgamate. Trigger: provinces.,7,Motion|davao ; Bodily_harm|cutting ; Bearing_arms|landslides ; Attack|hitting ; Killing|oriental ; Change|shifted ; Cause_to_amalgamate|provinces
TST_0036,<EVENTSEP> Event type: Legality. Trigger: passengers. <EVENTSEP> Event type: GiveUp. Trigger: fifty-four. <EVENTSEP> Event type: Statement. Trigger: board. <EVENTSEP> Event type: Lighting. Trigger: reported.,4,Legality|passengers ; GiveUp|fifty-four ; Statement|board ; Lighting|reported
TST_0037,<EVENTSEP> Event type: Causation. Trigger: sparked. <EVENTSEP> Event type: Causation. Trigger: crash.,2,Causation|sparked ; Causation|crash
TST_0038,<EVENTSEP> Event type: Damaging. Trigger: proceeds. <EVENTSEP> Event type: Violence. Trigger: Almost. <EVENTSEP> Event type: Publishing. Trigger: released. <EVENTSEP> Event type: Temporary_stay. Trigger: benefiting.,4,Damaging|proceeds ; Violence|almost ; Publishing|released ; Temporary_stay|benefiting
TST_0039,<EVENTSEP> Event type: Achieve. Trigger: medical. <EVENTSEP> Event type: Receiving. Trigger: receive. <EVENTSEP> Event type: Death. Trigger: died. <EVENTSEP> Event type: Expansion. Trigger: prolonged. <EVENTSEP> Event type: Preventing_or_letting. Trigger: clinic. <EVENTSEP> Event type: Confronting_problem. Trigger: Germany. <EVENTSEP> Event type: Legal_rulings. Trigger: cancer. <EVENTSEP> Event type: Departing. Trigger: left.,8,Achieve|medical ; Receiving|receive ; Death|died ; Expansion|prolonged ; Preventing_or_letting|clinic ; Confronting_problem|germany ; Legal_rulings|cancer ; Departing|left
TST_0040,<EVENTSEP> Event type: Motion_directional. Trigger: Midnight. <EVENTSEP> Event type: Process_end. Trigger: ended. <EVENTSEP> Event type: Violence. Trigger: Manning. <EVENTSEP> Event type: Reporting. Trigger: Express. <EVENTSEP> Event type: Justifying. Trigger: pin. <EVENTSEP> Event type: Violence. Trigger: pin. <EVENTSEP> Event type: Removing. Trigger: fact. <EVENTSEP> Event type: Award. Trigger: awarded. <EVENTSEP> Event type: Know. Trigger: Hazzard.,9,Motion_directional|midnight ; Process_end|ended ; Violence|manning ; Reporting|express ; Justifying|pin ; Violence|pin ; Removing|fact ; Award|awarded ; Know|hazzard
TST_0041,<EVENTSEP> Event type: Manufacturing. Trigger: Phil. <EVENTSEP> Event type: Statement. Trigger: Montgomerie. <EVENTSEP> Event type: Earnings_and_losses. Trigger: failed.,3,Manufacturing|phil ; Statement|montgomerie ; Earnings_and_losses|failed
TST_0042,<EVENTSEP> Event type: Death. Trigger: fatalities. <EVENTSEP> Event type: Come_together. Trigger: Canada. <EVENTSEP> Event type: Presence. Trigger: remaining. <EVENTSEP> Event type: Causation. Trigger: caused. <EVENTSEP> Event type: Catastrophe. Trigger: cyclone.,5,Death|fatalities ; Come_together|canada ; Presence|remaining ; Causation|caused ; Catastrophe|cyclone
TST_0043,<EVENTSEP> Event type: Change_event_time. Trigger: city. <EVENTSEP> Event type: Catastrophe. Trigger: earthquake. <EVENTSEP> Event type: Influence. Trigger: affected.,3,Change_event_time|city ; Catastrophe|earthquake ; Influence|affected
VAL_0001,<EVENTSEP> Event type: Coming_to_be. Trigger: developing. <EVENTSEP> Event type: Coming_to_be. Trigger: formed. <EVENTSEP> Event type: Catastrophe. Trigger: aftermath. <EVENTSEP> Event type: Hostile_encounter. Trigger: engagement. <EVENTSEP> Event type: Military_operation. Trigger: campaign. <EVENTSEP> Event type: Self_motion. Trigger: pursued. <EVENTSEP> Event type: Escaping. Trigger: escaped.,7,Coming_to_be|developing ; Coming_to_be|formed ; Catastrophe|aftermath ; Hostile_encounter|engagement ; Military_operation|campaign ; Self_motion|pursued ; Escaping|escaped
VAL_0002,<EVENTSEP> Event type: Name_conferral. Trigger: named. <EVENTSEP> Event type: Catastrophe. Trigger: crash.,2,Name_conferral|named ; Catastrophe|crash
VAL_0003,<EVENTSEP> Event type: Control. Trigger: managed.,1,Control|managed
VAL_0004,<EVENTSEP> Event type: Catastrophe. Trigger: storm. <EVENTSEP> Event type: Motion_directional. Trigger: pass. <EVENTSEP> Event type: Motion. Trigger: followed. <EVENTSEP> Event type: Self_motion. Trigger: landfall. <EVENTSEP> Event type: Self_motion. Trigger: landfall.,5,Catastrophe|storm ; Motion_directional|pass ; Motion|followed ; Self_motion|landfall ; Self_motion|landfall
VAL_0005,<EVENTSEP> Event type: Recovering. Trigger: revival.,1,Recovering|revival
VAL_0006,<EVENTSEP> Event type: Military_operation. Trigger: campaign. <EVENTSEP> Event type: Military_operation. Trigger: operations. <EVENTSEP> Event type: Traveling. Trigger: travelling. <EVENTSEP> Event type: Action. Trigger: conducted. <EVENTSEP> Event type: Preventing_or_letting. Trigger: preventing.,5,Military_operation|campaign ; Military_operation|operations ; Traveling|travelling ; Action|conducted ; Preventing_or_letting|preventing
VAL_0007,<EVENTSEP> Event type: Action. Trigger: conducted. <EVENTSEP> Event type: Military_operation. Trigger: Operation.,2,Action|conducted ; Military_operation|operation
VAL_0008,<EVENTSEP> Event type: Causation. Trigger: caused. <EVENTSEP> Event type: Motion. Trigger: strayed.,2,Causation|caused ; Motion|strayed
VAL_0009,<EVENTSEP> Event type: Use_firearm. Trigger: shooting. <EVENTSEP> Event type: Coming_to_be. Trigger: occurred.,2,Use_firearm|shooting ; Coming_to_be|occurred
VAL_0010,<EVENTSEP> Event type: Hold. Trigger: hold. <EVENTSEP> Event type: Request. Trigger: force. <EVENTSEP> Event type: Removing. Trigger: cancellation.,3,Hold|hold ; Request|force ; Removing|cancellation
VAL_0011,<EVENTSEP> Event type: Reporting. Trigger: reported. <EVENTSEP> Event type: Convincing. Trigger: suggested. <EVENTSEP> Event type: Catastrophe. Trigger: cyclone. <EVENTSEP> Event type: Catastrophe. Trigger: storm.,4,Reporting|reported ; Convincing|suggested ; Catastrophe|cyclone ; Catastrophe|storm
VAL_0012,<EVENTSEP> Event type: Damaging. Trigger: damage. <EVENTSEP> Event type: Causation. Trigger: setting off. <EVENTSEP> Event type: Creating. Trigger: produced. <EVENTSEP> Event type: Catastrophe. Trigger: hurricane. <EVENTSEP> Event type: Catastrophe. Trigger: floods.,5,Damaging|damage ; Causation|setting off ; Creating|produced ; Catastrophe|hurricane ; Catastrophe|floods
VAL_0013,<EVENTSEP> Event type: Arriving. Trigger: arrived at.,1,Arriving|arrived at
VAL_0014,<EVENTSEP> Event type: Besieging. Trigger: siege.,1,Besieging|siege
VAL_0015,<EVENTSEP> Event type: Exchange. Trigger: exchange. <EVENTSEP> Event type: Use_firearm. Trigger: fire.,2,Exchange|exchange ; Use_firearm|fire
VAL_0016,<EVENTSEP> Event type: Competition. Trigger: Cup. <EVENTSEP> Event type: Competition. Trigger: championship. <EVENTSEP> Event type: Competition. Trigger: played.,3,Competition|cup ; Competition|championship ; Competition|played
VAL_0017,<EVENTSEP> Event type: Arrest. Trigger: arrested.,1,Arrest|arrested
VAL_0018,<EVENTSEP> Event type: Hostile_encounter. Trigger: standoff. <EVENTSEP> Event type: Causation. Trigger: resulted in.,2,Hostile_encounter|standoff ; Causation|resulted in
VAL_0019,<EVENTSEP> Event type: GetReady. Trigger: prepared. <EVENTSEP> Event type: Self_motion. Trigger: sailed. <EVENTSEP> Event type: Come_together. Trigger: meet.,3,GetReady|prepared ; Self_motion|sailed ; Come_together|meet
VAL_0020,<EVENTSEP> Event type: Process_start. Trigger: began.,1,Process_start|began
VAL_0021,<EVENTSEP> Event type: Catastrophe. Trigger: fire. <EVENTSEP> Event type: Process_start. Trigger: began.,2,Catastrophe|fire ; Process_start|began
VAL_0022,<EVENTSEP> Event type: Coming_to_be. Trigger: occurred. <EVENTSEP> Event type: Killing. Trigger: massacre. <EVENTSEP> Event type: Killing. Trigger: shooting. <EVENTSEP> Event type: Killing. Trigger: bombing.,4,Coming_to_be|occurred ; Killing|massacre ; Killing|shooting ; Killing|bombing
VAL_0023,<EVENTSEP> Event type: Patrolling. Trigger: guarded. <EVENTSEP> Event type: Know. Trigger: discovered. <EVENTSEP> Event type: Arranging. Trigger: deployed.,3,Patrolling|guarded ; Know|discovered ; Arranging|deployed
VAL_0024,<EVENTSEP> Event type: Killing. Trigger: massacre. <EVENTSEP> Event type: Choosing. Trigger: elected. <EVENTSEP> Event type: Presence. Trigger: presented.,3,Killing|massacre ; Choosing|elected ; Presence|presented
VAL_0025,<EVENTSEP> No events.,1,
VAL_0026,<EVENTSEP> Event type: Hold. Trigger: took place.,1,Hold|took place
VAL_0027,<EVENTSEP> Event type: Damaging. Trigger: damage. <EVENTSEP> Event type: Causation. Trigger: inflicted. <EVENTSEP> Event type: Killing. Trigger: fatalities.,3,Damaging|damage ; Causation|inflicted ; Killing|fatalities
VAL_0028,<EVENTSEP> Event type: Arriving. Trigger: reaching. <EVENTSEP> Event type: Self_motion. Trigger: tracked. <EVENTSEP> Event type: Catastrophe. Trigger: storm. <EVENTSEP> Event type: Coming_to_be. Trigger: develop.,4,Arriving|reaching ; Self_motion|tracked ; Catastrophe|storm ; Coming_to_be|develop
VAL_0029,<EVENTSEP> No events.,1,
VAL_0030,<EVENTSEP> Event type: Process_start. Trigger: preceded.,1,Process_start|preceded
VAL_0031,<EVENTSEP> Event type: Aiming. Trigger: targeted. <EVENTSEP> Event type: Bodily_harm. Trigger: wounded.,2,Aiming|targeted ; Bodily_harm|wounded
VAL_0032,<EVENTSEP> Event type: Supporting. Trigger: support. <EVENTSEP> Event type: Social_event. Trigger: concert.,2,Supporting|support ; Social_event|concert
VAL_0033,<EVENTSEP> Event type: Defending. Trigger: defending. <EVENTSEP> Event type: Competition. Trigger: events.,2,Defending|defending ; Competition|events
VAL_0034,<EVENTSEP> Event type: Defending. Trigger: defended. <EVENTSEP> Event type: Preserving. Trigger: retain.,2,Defending|defended ; Preserving|retain
VAL_0035,<EVENTSEP> Event type: Supporting. Trigger: supported.,1,Supporting|supported
VAL_0036,<EVENTSEP> Event type: GiveUp. Trigger: abandoned. <EVENTSEP> Event type: Besieging. Trigger: siege. <EVENTSEP> Event type: Escaping. Trigger: withdrew.,3,GiveUp|abandoned ; Besieging|siege ; Escaping|withdrew
VAL_0037,<EVENTSEP> Event type: Destroying. Trigger: degenerating. <EVENTSEP> Event type: Cause_change_of_strength. Trigger: weaken.,2,Destroying|degenerating ; Cause_change_of_strength|weaken
